text	label
he also is narcoleptic and falls asleep at the most inopportune times .	1
after a while they discover strange markings on their bodies .	1
based on the late 1960's television show by the same name , the mod squad tells the tale of three reformed criminals under the employ of the police to go undercover .	0
the car slams into the ground , and the left wheel is completely destroyed .	0
the film is best described as a cross between an hour-long cop show and a music video , both stretched out into the span of an hour and a half .	0
stiller currently has three projects in circulation , and what other actor can lay claim to that ?	1
martin scorsese , another italoamerican moviemaker , confronted that perspective with his own , more down-to-earth vision of mafia in 1973 mean streets , movie that dealt with lower echelons of organised crime .	1
not deep , not meaningful , and not profound .	1
 * the acting is truly bad .	0
one thing that's been bothering me since i've seen it .	1
are the drawings on the wall blood or paint ?	0
she thinks these visions are a warning knell for horrible , soon-to-be-committed crimes , but neither her ho-hum husband ( aidan quinn ) nor the ho-hummer police can muster up the sense to take her seriously .	0
because of this achievement , and also because of the great influence on future filmmakers , this cinematic gem deserves its rightful place among the best films of 1990s .	1
they get into an accident .	0
unfortunately , this preconception saps the film of some of it's would-be suspenseful moments , and anything good left in those scenes is largely attributed to jackson's acting ability .	1
he gets several bee stings .	1
i don't know if these phrases are word for word , but they're close .	0
the narrator states that " this is the story of daryl gleason " and tells the audience that he is the stalker .	0
but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap--a scene he paid $60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has " a big pussy , " referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid $60 to have the exchange included in the movie ) pass for comedy ?	0
does vivian possess the gift of telekinesis in addition to his other powers ?	0
you've seen all their faces - natalie portman ( the professional ) as queen amidala , liam neeson ( schindler's list ) as qui-gon jinn , ewan mcgregor ( trainspotting ) as obi-wan kenobi , and jake lloyd ( jingle all the way ) as young anakin skywalker .	1
is bulworth offensive ? ?	1
my god , do we really need yet another movie with smash mouth performing " all star ? "	1
peck's subject and lead actor elevate his film above its mediocre production .	1
sounds like a cool movie , does it not ?	0
the background music keeps you in a state of urgency , and even suspense , for the first few conversations .	0
the film opens with a flashback , in which derek brutally kills two black men vandalizing his car .	1
 " jaws " is a rare film that grabs your attention before it shows you a single image on screen .	1
siouxsie is the chromium cool , tough-as-nails crack killing machine who shoots out a couple of mirrors in order to justify the film's meaningless stock title .	0
when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling .	1
pollini hitches a ride with zack ( wayne knight ) , a hyper-tense ambulance driver carrying a human heart across country for a transplant operation .	1
we're so used to child actors whose dramatic choices are broad and obvious ( calling haley joel ! ) , it's surprising to see one who actually listens throughout any given scene .	0
he was the baldwin in " backdraft , " " sliver , " and " fair game " ( with cindy crawford ) .	0
minutes later , an elite team of agents led by delroy lindo ( broken arrow ) are in tom's house and wiring every phone .	1
really .	1
not surprisingly , the nighttime forest frenzy does not go unnoticed and when two girls fail to wake the following morning , witches are invoked by those eager to blame .	0
smith and scorsese have a lot in common , and so do the two films in question , because both smith's bethany and scorsese's jesus are hollow shells without their faith .	1
after the obligatory second playing of britney spears' titular song , there's a quick commercial jingle for a burger joint the kids in the film hang out in and a brief rendition of the school song for their high school .	0
in this film , police negotiator danny roman ( samuel l . jackson ) is tipped off by his partner to corruption within the chicago police force .	1
okay . so we know who the stalker is even before the movie starts ; no guesswork required .	0
and schneider , here to provide comic relief i assume , is totally unfunny and over acts his way through every scene .	0
as stahl , stiller contributes a commanding performance .	1
but the soundtrack is most effective when it is used as ironic comment - almost pastoral , easy listening tunes make strong and very ironic contrast to the scenes of violence and bloodshed .	1
critique : extremely underwhelming is the best way to describe this movie .	0
`dark city' is what the movies are all about - the escape from the real world .	1
they soon make a new year's resolution to get into rehab , but that proves to be easier said than done .	1
apparently the culture has changed so that women are much more in positions of control .	0
 " the untouchables " has some of the hippest , bravest heroes in any action film .	1
even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy .	1
unfortunately , even he's not enough to save this convoluted mess , as all the characters don't do much apart from occupying screen time .	0
the only thing keeping this film from becoming an incomprehensible mess is the sheer idiotic simplicity of its story .	0
warning : spoilers ahead ! ! ! !	1
stalked's cast is uniformly adequate : not anything to write home about but also not all that bad either .	0
this epic sci-fi film is more sheer spectacle than anything else .	1
the romance between costars dylan mcdermott and elizabeth perkins doesn't work too well , but the film makes a strong case that richard attenborough is the definitive kriss kringle .	1
there's an old role-playing computer game called `d ? ja v ? ' wherein the player takes on the role of a man who can't remember who he is , where he is and how he got there .	1
a knight's tale ( 7/10 ) - american outlaws ( 5/10 ) - crouching tiger , hidden dragon ( 7/10 ) - the matrix ( 8/10 ) - the replacement killers ( 6/10 ) - romeo must die ( 3/10 ) - shanghai noon ( 6/10 )	0
valiant takes some photos of jessica playing , `patty cake' with marvin acme ( stubby kaye ) , the owner of toontown ( where all of the cartoon characters live ) and takes them to maroon .	1
hullo ?	0
when derek is released , having served three years in prison , he finds that his brother is now a full-blown skinhead ; derek , however , has given up the violence , and tries to get his brother to understand why racism and the violence that comes with it are bad things .	1
the real star here are stan winston's robot design , some schnazzy cgi , and the occasional good gore shot , like picking into someone's brain .	0
right from the first five minutes of the film , de palma has created a hatred towards capone and he shows that this man must be brought down at all costs .	1
`who framed roger rabbit' is a rare film .	1
however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox .	1
i simply enjoyed the film .	1
many have forgotten , but " jaws " was a sort of precursor to " waterworld " ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .	1
a follow-up to disney's live-action " 101 dalmatians " that's better , more entertaining than the first ?	0
sometimes these breaks are used for chapter headings , but these are even more cryptic than the spoken words .	0
and she was shocked to hear that i actually liked it .	1
three of them spend years as best friends and associates , gathering enormous wealth from their criminal enterprises that would culminate with one of the most spectacular robberies in american history .	1
or more deservedly , the hall of fame of the eighth-assedness .	0
don't knock the look , but say what you will about the foolish plot , underdeveloped characters and flat dialogue .	0
his chemistry with children can moisten any eye .	1
but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) .	1
even the magic kingdom at its most mediocre -- that'd be " pocahontas " for those of you keeping score -- isn't nearly as dull as this .	0
but l . i . e . 's screenplay doesn't always give them the best material .	0
these plans include the all-time , psycho-in-love , cliche : the murdered pet .	0
it contains the film in standard form ( aspect ratio of 1 . 33 : 1 ) , although some moments of stock footage are letterboxed .	0
there is no goddamned blair witch ! " .	1
it starts off " normal " but then downshifts into this " fantasy " world in which you , as an audience member , have no idea what's going on .	0
these are standard haunted house film shock effects that require no great talent to give the audience .	0
nostalgia for good old times is illustrated with easy-listening 1950s pop songs , while depression , paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s .	1
walsh is a nonentity , with all the screen presence of a door knob .	1
set in 1692 at salem , massachusetts , the crucible opens with a group of teenage girls passionately singing and dancing around a boiling cauldron in the middle of a forest under the glow of a full moon .	0
more money has been spent and more people have worked on a project that was doomed to fail .	1
also bob hoskins' performance should be credited .	1
and so on .	1
i'd even go so far as to say that many folks who didn't know about the game probably enjoyed the movie .	0
nonetheless , city of angels is beautifully captivating , which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories .	1
of course , the ads make it seem like so much more .	0
in the end , it's a tie -- they all win .	0
in the second category we have ms . henstridge , her blonde hair pulled back tightly and awkwardly into a ponytail , ice cube ( as the appropriately-named " desolation " ) , pam grier ( briefly , oddly--who wanted to work with whom i wonder ? ) , and a host of extras all assuming that the story and special effects were going to carry this film and therefore they didn't need to try too hard .	0
director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster .	0
for reasons that are never clearly explained , it appears that john possesses telekinetic powers to can do pretty much whatever his mind can conceive ( a process known as `tuning' ) .	1
